Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,19:34:31,1,101,Bias_Receive,BIAS_BC,A,1,,,,,,,,,
Day 1,19:34:58,1,102,Bias_Receive,BIAS_32CH,A,1,,,,,,,,,
Day 1,19:36:23,1,103,T1w,T1w_MPR1,B,1,,1,,'+z,,,,,
Day 1,19:44:39,1,104,T2w,T2w_SPC1,B,1,,1,,'+z,,,,,
Day 1,20:10:38,1,107,FieldMap,FieldMap_Magnitude,B,1,,1,,,,,,,
Day 1,20:10:39,1,108,FieldMap,FieldMap_Phase,B,1,,1,,,,,,,
Day 1,20:12:55,1,109,Bias_Transmit,AFI,B,1,,,,,,,,,
Day 2,18:02:29,2,201,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 2,18:02:56,2,202,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 2,18:04:30,2,203,dMRI_SBRef,DWI_dir95_RL_SBRef,C,2,,,'+x,,,,,,
Day 2,18:04:30,2,204,dMRI,DWI_dir95_RL,C,2,,,'+x,,,1,Y,100.0,100.0
Day 2,18:14:36,2,205,dMRI_SBRef,DWI_dir95_LR_SBRef,C,2,,,'-x,,,,,,
Day 2,18:14:36,2,206,dMRI,DWI_dir95_LR,C,2,,,'-x,,,2,Y,100.0,100.0
Day 2,18:24:44,2,207,dMRI_SBRef,DWI_dir96_RL_SBRef,C,2,,,'+x,,,,,,
Day 2,18:24:44,2,208,dMRI,DWI_dir96_RL,C,2,,,'+x,,,3,Y,100.0,100.0
Day 2,18:35:00,2,209,dMRI_SBRef,DWI_dir96_LR_SBRef,C,2,,,'-x,,,,,,
Day 2,18:35:00,2,210,dMRI,DWI_dir96_LR,C,2,,,'-x,,,4,Y,100.0,100.0
Day 2,18:45:12,2,211,dMRI_SBRef,DWI_dir97_RL_SBRef,C,2,,,'+x,,,,,,
Day 2,18:45:12,2,212,dMRI,DWI_dir97_RL,C,2,,,'+x,,,5,Y,100.0,100.0
Day 2,18:55:30,2,213,dMRI_SBRef,DWI_dir97_LR_SBRef,C,2,,,'-x,,,,,,
Day 2,18:55:30,2,214,dMRI,DWI_dir97_LR,C,2,,,'-x,,,6,Y,100.0,100.0
Day 2,19:33:07,3,301,Bias_Receive,BIAS_BC,A,3,,,,,,,,,
Day 2,19:33:33,3,302,Bias_Receive,BIAS_32CH,A,3,,,,,,,,,
Day 2,19:34:44,3,303,FieldMap_SE_EPI,SpinEchoFieldMap_RL,D,3,1,,'+x,,,,,,
