Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,08:36:52,1,101,Bias_Receive,BIAS_BC,A,1,,,,,,,,,
Day 1,08:37:18,1,102,Bias_Receive,BIAS_32CH,A,1,,,,,,,,,
Day 1,08:39:23,1,103,T1w,T1w_MPR1,B,1,,1,,'+z,,,,,
Day 1,08:57:46,1,105,T1w,T1w_MPR2,B,1,,1,,'+z,,,,,
Day 1,09:06:16,1,106,T2w,T2w_SPC1,B,1,,1,,'+z,,,,,
Day 1,09:15:20,1,107,FieldMap,FieldMap_Magnitude,B,1,,1,,,,,,,
Day 1,09:15:21,1,108,FieldMap,FieldMap_Phase,B,1,,1,,,,,,,
Day 1,09:17:36,1,109,Bias_Transmit,AFI,B,1,,,,,,,,,
Day 1,10:46:49,2,201,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 1,10:47:15,2,202,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 1,10:48:30,2,203,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,1,,'+x,,,,,,
Day 1,10:49:02,2,204,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,2,1,,'-x,,,,,,
Day 1,10:50:13,2,205,rfMRI_SBRef,rfMRI_REST1_RL_SBRef,C,2,1,,'+x,,,,,,
Day 1,10:50:13,2,206,rfMRI,rfMRI_REST1_RL,C,2,1,,'+x,,,1,Y,100.0,100.0
Day 1,11:05:22,2,207,rfMRI_SBRef,rfMRI_REST1_LR_SBRef,C,2,1,,'-x,,,,,,
Day 1,11:05:22,2,208,rfMRI,rfMRI_REST1_LR,C,2,1,,'-x,,,2,Y,100.0,100.0
Day 1,11:23:37,2,211,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,2,,'+x,,,,,,
Day 1,11:24:10,2,212,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,2,2,,'-x,,,,,,
Day 1,11:42:59,2,213,tfMRI_SBRef,tfMRI_WM_RL_SBRef,C,2,2,,'+x,,3,,,,
Day 1,11:42:59,2,214,tfMRI,tfMRI_WM_RL,C,2,2,,'+x,,3,1,Y,100.0,100.0
Day 1,11:48:45,2,215,tfMRI_SBRef,tfMRI_WM_LR_SBRef,C,2,2,,'-x,,4,,,,
Day 1,11:48:45,2,216,tfMRI,tfMRI_WM_LR,C,2,2,,'-x,,4,2,Y,100.0,100.0
Day 1,11:54:37,2,217,tfMRI_SBRef,tfMRI_GAMBLING_RL_SBRef,C,2,2,,'+x,,1,,,,
Day 1,11:54:37,2,218,tfMRI,tfMRI_GAMBLING_RL,C,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,11:58:29,2,219,tfMRI_SBRef,tfMRI_GAMBLING_LR_SBRef,C,2,2,,'-x,,2,,,,
Day 1,11:58:29,2,220,tfMRI,tfMRI_GAMBLING_LR,C,2,2,,'-x,,2,2,Y,100.0,100.0
Day 1,12:04:04,2,221,tfMRI_SBRef,tfMRI_MOTOR_RL_SBRef,C,2,2,,'+x,,1,,,,
Day 1,12:04:04,2,222,tfMRI,tfMRI_MOTOR_RL,C,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,12:08:20,2,223,tfMRI_SBRef,tfMRI_MOTOR_LR_SBRef,C,2,2,,'-x,,2,,,,
Day 1,12:08:20,2,224,tfMRI,tfMRI_MOTOR_LR,C,2,2,,'-x,,2,2,Y,100.0,100.0
Day 2,08:14:57,3,301,Bias_Receive,BIAS_BC,A,3,,,,,,,,,
Day 2,08:15:24,3,302,Bias_Receive,BIAS_32CH,A,3,,,,,,,,,
Day 2,08:18:04,3,303,dMRI_SBRef,DWI_dir95_RL_SBRef,D,3,,,'+x,,,,,,
Day 2,08:18:04,3,304,dMRI,DWI_dir95_RL,D,3,,,'+x,,,1,Y,100.0,100.0
Day 2,08:28:23,3,305,dMRI_SBRef,DWI_dir95_LR_SBRef,D,3,,,'-x,,,,,,
Day 2,08:28:23,3,306,dMRI,DWI_dir95_LR,D,3,,,'-x,,,2,Y,100.0,100.0
Day 2,08:38:37,3,307,dMRI_SBRef,DWI_dir96_RL_SBRef,D,3,,,'+x,,,,,,
Day 2,08:38:37,3,308,dMRI,DWI_dir96_RL,D,3,,,'+x,,,3,Y,100.0,100.0
Day 2,08:48:58,3,309,dMRI_SBRef,DWI_dir96_LR_SBRef,D,3,,,'-x,,,,,,
Day 2,08:48:58,3,310,dMRI,DWI_dir96_LR,D,3,,,'-x,,,4,Y,100.0,100.0
Day 2,08:59:26,3,311,dMRI_SBRef,DWI_dir97_RL_SBRef,D,3,,,'+x,,,,,,
Day 2,08:59:26,3,312,dMRI,DWI_dir97_RL,D,3,,,'+x,,,5,Y,100.0,100.0
Day 2,09:09:47,3,313,dMRI_SBRef,DWI_dir97_LR_SBRef,D,3,,,'-x,,,,,,
Day 2,09:09:47,3,314,dMRI,DWI_dir97_LR,D,3,,,'-x,,,6,Y,100.0,100.0
Day 2,11:12:27,4,401,Bias_Receive,BIAS_BC,A,4,,,,,,,,,
Day 2,11:12:54,4,402,Bias_Receive,BIAS_32CH,A,4,,,,,,,,,
Day 2,11:17:45,4,405,FieldMap_SE_EPI,SpinEchoFieldMap_RL,E,4,3,,'+x,,,,,,
Day 2,11:18:22,4,406,FieldMap_SE_EPI,SpinEchoFieldMap_LR,E,4,3,,'-x,,,,,,
Day 2,11:19:32,4,407,tfMRI_SBRef,tfMRI_LANGUAGE_RL_SBRef,E,4,3,,'+x,,1,,,,
Day 2,11:19:32,4,408,tfMRI,tfMRI_LANGUAGE_RL,E,4,3,,'+x,,1,1,Y,100.0,100.0
Day 2,11:24:06,4,409,tfMRI_SBRef,tfMRI_LANGUAGE_LR_SBRef,E,4,3,,'-x,,2,,,,
Day 2,11:24:06,4,410,tfMRI,tfMRI_LANGUAGE_LR,E,4,3,,'-x,,2,2,Y,100.0,100.0
Day 2,11:29:04,4,411,tfMRI_SBRef,tfMRI_SOCIAL_RL_SBRef,E,4,3,,'+x,,1,,,,
Day 2,11:29:04,4,412,tfMRI,tfMRI_SOCIAL_RL,E,4,3,,'+x,,1,1,Y,100.0,100.0
Day 2,11:33:03,4,413,tfMRI_SBRef,tfMRI_SOCIAL_LR_SBRef,E,4,3,,'-x,,2,,,,
Day 2,11:33:03,4,414,tfMRI,tfMRI_SOCIAL_LR,E,4,3,,'-x,,2,2,Y,100.0,100.0
Day 2,11:37:56,4,415,tfMRI_SBRef,tfMRI_RELATIONAL_RL_SBRef,E,4,3,,'+x,,1,,,,
Day 2,11:37:56,4,416,tfMRI,tfMRI_RELATIONAL_RL,E,4,3,,'+x,,1,1,Y,100.0,100.0
Day 2,11:41:26,4,417,tfMRI_SBRef,tfMRI_RELATIONAL_LR_SBRef,E,4,3,,'-x,,2,,,,
Day 2,11:41:26,4,418,tfMRI,tfMRI_RELATIONAL_LR,E,4,3,,'-x,,2,2,Y,100.0,100.0
Day 2,11:45:04,4,419,tfMRI_SBRef,tfMRI_EMOTION_RL_SBRef,E,4,3,,'+x,,1,,,,
Day 2,11:45:04,4,420,tfMRI,tfMRI_EMOTION_RL,E,4,3,,'+x,,1,1,Y,100.0,100.0
Day 2,11:47:57,4,421,tfMRI_SBRef,tfMRI_EMOTION_LR_SBRef,E,4,3,,'-x,,2,,,,
Day 2,11:47:57,4,422,tfMRI,tfMRI_EMOTION_LR,E,4,3,,'-x,,2,2,Y,100.0,100.0
Day 1,08:25:08,1,101,Bias_Transmit,AFI,A,1,,,,,,,,,
Day 1,08:35:32,1,102,rfMRI_SBRef,rfMRI_REST1_PA_SBRef,B,1,1,,'+y,,,,,,
Day 1,08:35:41,1,103,rfMRI,rfMRI_REST1_PA,B,1,1,,'+y,,,1,Y,100.0,
Day 1,08:52:34,1,104,FieldMap_SE_EPI_SBRef,SpinEchoFieldMap_PA_SBRef,B,1,1,,,,,,,,
Day 1,08:52:55,1,105,FieldMap_SE_EPI,SpinEchoFieldMap_PA,B,1,1,,'+y,,,,,,
Day 1,08:54:58,1,106,FieldMap_SE_EPI_SBRef,SpinEchoFieldMap_AP_SBRef,B,1,1,,,,,,,,
Day 1,08:55:19,1,107,FieldMap_SE_EPI,SpinEchoFieldMap_AP,B,1,1,,'-y,,,,,,
Day 1,08:59:00,1,108,tfMRI_SBRef,tfMRI_MOVIE1_AP_SBRef,B,1,2,,'-y,,,,,,
Day 1,08:59:09,1,109,tfMRI,tfMRI_MOVIE1_AP,B,1,2,,'-y,,,1,Y,100.0,
Day 1,09:15:57,1,110,FieldMap_SE_EPI_SBRef,SpinEchoFieldMap_PA_SBRef,B,1,2,,,,,,,,
Day 1,09:16:18,1,111,FieldMap_SE_EPI,SpinEchoFieldMap_PA,B,1,2,,'+y,,,,,,
Day 1,09:17:28,1,112,FieldMap_SE_EPI_SBRef,SpinEchoFieldMap_AP_SBRef,B,1,2,,,,,,,,
Day 1,09:17:49,1,113,FieldMap_SE_EPI,SpinEchoFieldMap_AP,B,1,2,,'-y,,,,,,
Day 1,09:20:51,1,114,tfMRI_SBRef,tfMRI_MOVIE2_PA_SBRef,B,1,2,,'+y,,,,,,
Day 1,09:21:00,1,115,tfMRI,tfMRI_MOVIE2_PA,B,1,2,,'+y,,,1,Y,100.0,
Day 1,11:29:26,2,201,rfMRI_SBRef,rfMRI_REST2_AP_SBRef,C,2,3,,'-y,,,,,,
Day 1,11:29:35,2,202,rfMRI,rfMRI_REST2_AP,C,2,3,,'-y,,,1,Y,100.0,
Day 1,11:46:49,2,203,FieldMap_SE_EPI_SBRef,SpinEchoFieldMap_PA_SBRef,C,2,3,,,,,,,,
Day 1,11:47:10,2,204,FieldMap_SE_EPI,SpinEchoFieldMap_PA,C,2,3,,'+y,,,,,,
Day 1,11:48:20,2,205,FieldMap_SE_EPI_SBRef,SpinEchoFieldMap_AP_SBRef,C,2,3,,,,,,,,
Day 1,11:48:41,2,206,FieldMap_SE_EPI,SpinEchoFieldMap_AP,C,2,3,,'-y,,,,,,
Day 1,11:51:29,2,207,tfMRI_SBRef,tfMRI_RETCCW_AP_SBRef,C,2,4,,'-y,,,,,,
Day 1,11:51:38,2,208,tfMRI,tfMRI_RETCCW_AP,C,2,4,,'-y,,,1,Y,100.0,
Day 1,11:59:42,2,209,tfMRI_SBRef,tfMRI_RETCW_PA_SBRef,C,2,4,,'+y,,,,,,
Day 1,11:59:51,2,210,tfMRI,tfMRI_RETCW_PA,C,2,4,,'+y,,,1,Y,100.0,
Day 1,12:07:24,2,211,tfMRI_SBRef,tfMRI_RETEXP_AP_SBRef,C,2,4,,'-y,,,,,,
Day 1,12:07:33,2,212,tfMRI,tfMRI_RETEXP_AP,C,2,4,,'-y,,,1,Y,100.0,
Day 1,12:14:53,2,213,tfMRI_SBRef,tfMRI_RETCON_PA_SBRef,C,2,4,,'+y,,,,,,
Day 1,12:15:03,2,214,tfMRI,tfMRI_RETCON_PA,C,2,4,,'+y,,,1,Y,100.0,
Day 1,12:21:24,2,215,FieldMap_SE_EPI_SBRef,SpinEchoFieldMap_PA_SBRef,C,2,4,,,,,,,,
Day 1,12:21:45,2,216,FieldMap_SE_EPI,SpinEchoFieldMap_PA,C,2,4,,'+y,,,,,,
Day 1,12:22:54,2,217,FieldMap_SE_EPI_SBRef,SpinEchoFieldMap_AP_SBRef,C,2,4,,,,,,,,
Day 1,12:23:15,2,218,FieldMap_SE_EPI,SpinEchoFieldMap_AP,C,2,4,,'-y,,,,,,
Day 1,12:25:09,2,219,tfMRI_SBRef,tfMRI_RETBAR1_AP_SBRef,C,2,4,,'-y,,,,,,
Day 1,12:25:18,2,220,tfMRI,tfMRI_RETBAR1_AP,C,2,4,,'-y,,,1,Y,100.0,
Day 1,12:32:12,2,221,tfMRI_SBRef,tfMRI_RETBAR2_PA_SBRef,C,2,4,,'+y,,,,,,
Day 1,12:32:21,2,222,tfMRI,tfMRI_RETBAR2_PA,C,2,4,,'+y,,,1,Y,100.0,
