Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,11:09:39,1,101,Bias_Receive,BIAS_BC,A,1,,,,,,,,,
Day 1,11:10:05,1,102,Bias_Receive,BIAS_32CH,A,1,,,,,,,,,
Day 1,11:12:08,1,103,T1w,T1w_MPR1,B,1,,,,'+z,,,,,
Day 1,11:20:26,1,104,T2w,T2w_SPC1,B,1,,,,'+z,,,,,
Day 1,12:00:18,2,201,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 1,12:00:45,2,202,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 1,12:01:56,2,203,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,1,,'+x,,,,,,
Day 1,12:02:28,2,204,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,2,1,,'-x,,,,,,
Day 1,12:04:00,2,205,rfMRI_SBRef,rfMRI_REST1_RL_SBRef,C,2,1,,'+x,,,,,,
Day 1,12:04:00,2,206,rfMRI,rfMRI_REST1_RL,C,2,1,,'+x,,,1,Y,100.0,100.0
Day 1,12:19:03,2,207,rfMRI_SBRef,rfMRI_REST1_LR_SBRef,C,2,1,,'-x,,,,,,
Day 1,12:19:03,2,208,rfMRI,rfMRI_REST1_LR,C,2,1,,'-x,,,2,Y,100.0,100.0
Day 1,12:51:37,2,211,Bias_Receive,BIAS_BC,A,3,,,,,,,,,
Day 1,12:52:03,2,212,Bias_Receive,BIAS_32CH,A,3,,,,,,,,,
Day 1,12:55:34,2,215,FieldMap_SE_EPI,SpinEchoFieldMap_RL,D,3,2,,'+x,,,,,,
Day 1,12:56:07,2,216,FieldMap_SE_EPI,SpinEchoFieldMap_LR,D,3,2,,'-x,,,,,,
Day 1,12:57:16,2,217,tfMRI_SBRef,tfMRI_WM_RL_SBRef,D,3,2,,'+x,,1,,,,
Day 1,12:57:16,2,218,tfMRI,tfMRI_WM_RL,D,3,2,,'+x,,1,1,Y,100.0,100.0
Day 1,13:02:54,2,219,tfMRI_SBRef,tfMRI_WM_LR_SBRef,D,3,2,,'-x,,2,,,,
Day 1,13:02:54,2,220,tfMRI,tfMRI_WM_LR,D,3,2,,'-x,,2,2,Y,100.0,100.0
Day 1,13:08:55,2,221,tfMRI_SBRef,tfMRI_GAMBLING_RL_SBRef,D,3,2,,'+x,,1,,,,
Day 1,13:08:55,2,222,tfMRI,tfMRI_GAMBLING_RL,D,3,2,,'+x,,1,1,Y,100.0,100.0
Day 1,13:13:03,2,223,tfMRI_SBRef,tfMRI_GAMBLING_LR_SBRef,D,3,2,,'-x,,2,,,,
Day 1,13:13:03,2,224,tfMRI,tfMRI_GAMBLING_LR,D,3,2,,'-x,,2,2,Y,100.0,100.0
Day 1,13:17:16,2,225,tfMRI_SBRef,tfMRI_MOTOR_RL_SBRef,D,3,2,,'+x,,1,,,,
Day 1,13:17:16,2,226,tfMRI,tfMRI_MOTOR_RL,D,3,2,,'+x,,1,1,Y,100.0,100.0
Day 1,13:21:21,2,227,tfMRI_SBRef,tfMRI_MOTOR_LR_SBRef,D,3,2,,'-x,,2,,,,
Day 1,13:21:21,2,228,tfMRI,tfMRI_MOTOR_LR,D,3,2,,'-x,,2,2,Y,100.0,100.0
Day 2,09:38:12,3,301,Bias_Receive,BIAS_BC,A,4,,,,,,,,,
Day 2,09:38:40,3,302,Bias_Receive,BIAS_32CH,A,4,,,,,,,,,
Day 2,09:40:15,3,303,dMRI_SBRef,DWI_dir95_RL_SBRef,E,4,,,'+x,,,,,,
Day 2,09:40:15,3,304,dMRI,DWI_dir95_RL,E,4,,,'+x,,,1,Y,100.0,100.0
Day 2,09:50:36,3,305,dMRI_SBRef,DWI_dir95_LR_SBRef,E,4,,,'-x,,,,,,
Day 2,09:50:36,3,306,dMRI,DWI_dir95_LR,E,4,,,'-x,,,2,Y,100.0,100.0
