Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,17:20:47,1,101,Bias_Receive,BIAS_BC,A,1,,,,,,,,,
Day 1,17:21:13,1,102,Bias_Receive,BIAS_32CH,A,1,,,,,,,,,
Day 1,17:22:34,1,103,T1w,T1w_MPR1,B,1,,1,,'+z,,,,,
Day 1,17:30:55,1,104,T2w,T2w_SPC1,B,1,,1,,'+z,,,,,
Day 1,17:39:40,1,105,FieldMap,FieldMap_Magnitude,B,1,,1,,,,,,,
Day 1,17:39:40,1,106,FieldMap,FieldMap_Phase,B,1,,1,,,,,,,
Day 1,17:42:00,1,107,Bias_Transmit,AFI,B,1,,,,,,,,,
Day 1,19:05:43,2,201,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 1,19:06:09,2,202,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 1,19:07:55,2,203,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,1,,'+x,,,,,,
Day 1,19:08:27,2,204,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,2,1,,'-x,,,,,,
Day 1,19:09:52,2,205,rfMRI_SBRef,rfMRI_REST1_RL_SBRef,C,2,1,,'+x,,,,,,
Day 1,19:09:52,2,206,rfMRI,rfMRI_REST1_RL,C,2,1,,'+x,,,1,Y,100.0,100.0
Day 1,19:24:44,2,207,rfMRI_SBRef,rfMRI_REST1_LR_SBRef,C,2,1,,'-x,,,,,,
Day 1,19:24:44,2,208,rfMRI,rfMRI_REST1_LR,C,2,1,,'-x,,,2,Y,100.0,100.0
Day 1,19:42:20,2,211,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,2,,'+x,,,,,,
Day 1,19:42:54,2,212,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,2,2,,'-x,,,,,,
Day 1,19:43:50,2,213,tfMRI_SBRef,tfMRI_WM_RL_SBRef,C,2,2,,'+x,,1,,,,
