Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,15:49:53,1,103,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 1,15:50:19,1,104,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 1,15:53:17,1,105,T1w,T1w_MPR1,B,2,,1,,'+z,,,,,
Day 1,16:03:12,1,106,T2w,T2w_SPC1,B,2,,1,,'+z,,,,,
Day 1,16:30:51,1,109,FieldMap,FieldMap_Magnitude,B,2,,1,,,,,,,
Day 1,16:30:51,1,110,FieldMap,FieldMap_Phase,B,2,,1,,,,,,,
Day 1,16:33:07,1,111,Bias_Transmit,AFI,B,2,,,,,,,,,
Day 1,18:17:05,2,201,Bias_Receive,BIAS_BC,A,3,,,,,,,,,
Day 1,18:17:32,2,202,Bias_Receive,BIAS_32CH,A,3,,,,,,,,,
Day 1,18:18:45,2,203,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,3,1,,'+x,,,,,,
Day 1,18:19:17,2,204,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,3,1,,'-x,,,,,,
Day 1,18:20:04,2,205,rfMRI_SBRef,rfMRI_REST1_RL_SBRef,C,3,1,,'+x,,,,,,
Day 1,18:20:04,2,206,rfMRI,rfMRI_REST1_RL,C,3,1,,'+x,,,1,Y,100.0,100.0
Day 1,18:35:21,2,207,rfMRI_SBRef,rfMRI_REST1_LR_SBRef,C,3,1,,'-x,,,,,,
Day 1,18:35:21,2,208,rfMRI,rfMRI_REST1_LR,C,3,1,,'-x,,,2,Y,100.0,100.0
Day 1,19:02:15,2,211,Bias_Receive,BIAS_BC,A,4,,,,,,,,,
Day 1,19:02:41,2,212,Bias_Receive,BIAS_32CH,A,4,,,,,,,,,
Day 1,19:06:17,2,215,FieldMap_SE_EPI,SpinEchoFieldMap_RL,D,4,2,,'+x,,,,,,
Day 1,19:06:49,2,216,FieldMap_SE_EPI,SpinEchoFieldMap_LR,D,4,2,,'-x,,,,,,
Day 1,19:08:05,2,217,tfMRI_SBRef,tfMRI_WM_RL_SBRef,D,4,2,,'+x,,1,,,,
Day 1,19:08:05,2,218,tfMRI,tfMRI_WM_RL,D,4,2,,'+x,,1,1,Y,100.0,100.0
Day 1,19:13:42,2,219,tfMRI_SBRef,tfMRI_WM_LR_SBRef,D,4,2,,'-x,,2,,,,
Day 1,19:13:42,2,220,tfMRI,tfMRI_WM_LR,D,4,2,,'-x,,2,2,Y,100.0,100.0
Day 1,19:19:24,2,221,tfMRI_SBRef,tfMRI_GAMBLING_RL_SBRef,D,4,2,,'+x,,1,,,,
Day 1,19:19:24,2,222,tfMRI,tfMRI_GAMBLING_RL,D,4,2,,'+x,,1,1,Y,100.0,100.0
Day 1,19:23:22,2,223,tfMRI_SBRef,tfMRI_GAMBLING_LR_SBRef,D,4,2,,'-x,,2,,,,
Day 1,19:23:22,2,224,tfMRI,tfMRI_GAMBLING_LR,D,4,2,,'-x,,2,2,Y,100.0,100.0
Day 1,19:27:45,2,225,tfMRI_SBRef,tfMRI_MOTOR_RL_SBRef,D,4,2,,'+x,,1,,,,
Day 1,19:27:45,2,226,tfMRI,tfMRI_MOTOR_RL,D,4,2,,'+x,,1,1,Y,100.0,100.0
Day 1,19:31:58,2,227,tfMRI_SBRef,tfMRI_MOTOR_LR_SBRef,D,4,2,,'-x,,2,,,,
Day 1,19:31:58,2,228,tfMRI,tfMRI_MOTOR_LR,D,4,2,,'-x,,2,2,Y,100.0,100.0
Day 2,09:36:57,3,301,Bias_Receive,BIAS_BC,A,5,,,,,,,,,
Day 2,09:37:23,3,302,Bias_Receive,BIAS_32CH,A,5,,,,,,,,,
Day 2,09:39:10,3,303,dMRI_SBRef,DWI_dir95_RL_SBRef,E,5,,,'+x,,,,,,
Day 2,09:39:10,3,304,dMRI,DWI_dir95_RL,E,5,,,'+x,,,1,Y,100.0,100.0
Day 2,09:49:34,3,305,dMRI_SBRef,DWI_dir95_LR_SBRef,E,5,,,'-x,,,,,,
Day 2,09:49:34,3,306,dMRI,DWI_dir95_LR,E,5,,,'-x,,,2,Y,100.0,100.0
Day 2,10:00:31,3,307,dMRI_SBRef,DWI_dir96_RL_SBRef,E,5,,,'+x,,,,,,
Day 2,10:00:31,3,308,dMRI,DWI_dir96_RL,E,5,,,'+x,,,3,Y,100.0,100.0
Day 2,10:11:53,3,309,dMRI_SBRef,DWI_dir96_LR_SBRef,E,5,,,'-x,,,,,,
Day 2,10:11:53,3,310,dMRI,DWI_dir96_LR,E,5,,,'-x,,,4,Y,100.0,100.0
Day 2,10:22:42,3,311,dMRI_SBRef,DWI_dir97_RL_SBRef,E,5,,,'+x,,,,,,
Day 2,10:22:42,3,312,dMRI,DWI_dir97_RL,E,5,,,'+x,,,5,Y,100.0,100.0
Day 2,10:35:25,3,313,dMRI_SBRef,DWI_dir97_LR_SBRef,E,5,,,'-x,,,,,,
Day 2,10:35:25,3,314,dMRI,DWI_dir97_LR,E,5,,,'-x,,,6,Y,100.0,100.0
Day 2,12:33:27,4,401,Bias_Receive,BIAS_BC,A,6,,,,,,,,,
Day 2,12:33:53,4,402,Bias_Receive,BIAS_32CH,A,6,,,,,,,,,
Day 2,12:35:07,4,403,FieldMap_SE_EPI,SpinEchoFieldMap_RL,F,6,3,,'+x,,,,,,
Day 2,12:35:40,4,404,FieldMap_SE_EPI,SpinEchoFieldMap_LR,F,6,3,,'-x,,,,,,
