Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,16:58:58,1,101,Bias_Receive,BIAS_BC,A,1,,,,,,,,,
Day 1,16:59:25,1,102,Bias_Receive,BIAS_32CH,A,1,,,,,,,,,
Day 1,17:00:50,1,103,T1w,T1w_MPR1,B,1,,1,,'+z,,,,,
Day 1,17:18:21,1,105,T1w,T1w_MPR2,B,1,,1,,'+z,,,,,
Day 1,17:26:43,1,106,T2w,T2w_SPC1,B,1,,1,,'+z,,,,,
Day 1,17:35:40,1,107,FieldMap,FieldMap_Magnitude,B,1,,1,,,,,,,
Day 1,17:35:41,1,108,FieldMap,FieldMap_Phase,B,1,,1,,,,,,,
Day 1,17:37:58,1,109,Bias_Transmit,AFI,B,1,,,,,,,,,
Day 1,18:07:32,2,201,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 1,18:07:59,2,202,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 1,18:09:12,2,203,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,1,,'+x,,,,,,
Day 1,18:09:44,2,204,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,2,1,,'-x,,,,,,
Day 1,18:10:36,2,205,rfMRI_SBRef,rfMRI_REST1_RL_SBRef,C,2,1,,'+x,,,,,,
Day 1,18:10:36,2,206,rfMRI,rfMRI_REST1_RL,C,2,1,,'+x,,,1,Y,100.0,100.0
Day 1,18:25:41,2,207,rfMRI_SBRef,rfMRI_REST1_LR_SBRef,C,2,1,,'-x,,,,,,
Day 1,18:25:41,2,208,rfMRI,rfMRI_REST1_LR,C,2,1,,'-x,,,2,Y,100.0,100.0
Day 1,18:43:10,2,211,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,2,,'+x,,,,,,
Day 1,18:43:43,2,212,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,2,2,,'-x,,,,,,
Day 1,18:44:42,2,213,tfMRI_SBRef,tfMRI_WM_RL_SBRef,C,2,2,,'+x,,1,,,,
Day 1,18:44:42,2,214,tfMRI,tfMRI_WM_RL,C,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,18:50:14,2,215,tfMRI_SBRef,tfMRI_WM_LR_SBRef,C,2,2,,'-x,,2,,,,
Day 1,18:50:14,2,216,tfMRI,tfMRI_WM_LR,C,2,2,,'-x,,2,2,Y,100.0,100.0
Day 1,18:55:46,2,217,tfMRI_SBRef,tfMRI_GAMBLING_RL_SBRef,C,2,2,,'+x,,1,,,,
Day 1,18:55:46,2,218,tfMRI,tfMRI_GAMBLING_RL,C,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,18:59:23,2,219,tfMRI_SBRef,tfMRI_GAMBLING_LR_SBRef,C,2,2,,'-x,,2,,,,
Day 1,18:59:23,2,220,tfMRI,tfMRI_GAMBLING_LR,C,2,2,,'-x,,2,2,Y,100.0,100.0
Day 1,19:03:07,2,221,tfMRI_SBRef,tfMRI_MOTOR_RL_SBRef,C,2,2,,'+x,,1,,,,
Day 1,19:03:07,2,222,tfMRI,tfMRI_MOTOR_RL,C,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,19:07:19,2,223,tfMRI_SBRef,tfMRI_MOTOR_LR_SBRef,C,2,2,,'-x,,2,,,,
Day 1,19:07:19,2,224,tfMRI,tfMRI_MOTOR_LR,C,2,2,,'-x,,2,2,Y,100.0,100.0
Day 2,14:46:32,3,301,Bias_Receive,BIAS_BC,D,3,,,,,,,,,
Day 2,14:46:58,3,302,Bias_Receive,BIAS_32CH,D,3,,,,,,,,,
