Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,10:06:56,1,101,Bias_Receive,BIAS_BC,A,1,,,,,,,,,
Day 1,10:07:22,1,102,Bias_Receive,BIAS_32CH,A,1,,,,,,,,,
Day 1,10:08:58,1,103,T1w,T1w_MPR1,B,1,,1,,'+z,,,,,
Day 1,10:17:22,1,104,T2w,T2w_SPC1,B,1,,1,,'+z,,,,,
Day 1,10:26:15,1,105,T1w,T1w_MPR2,B,1,,1,,'+z,,,,,
Day 1,10:34:56,1,106,T2w,T2w_SPC2,B,1,,1,,'+z,,,,,
Day 1,10:44:27,1,107,FieldMap,FieldMap_Magnitude,B,1,,1,,,,,,,
Day 1,10:44:28,1,108,FieldMap,FieldMap_Phase,B,1,,1,,,,,,,
Day 1,10:46:44,1,109,Bias_Transmit,AFI,B,1,,,,,,,,,
Day 2,09:50:18,3,301,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 2,09:50:45,3,302,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 2,09:52:10,3,303,dMRI_SBRef,DWI_dir95_RL_SBRef,C,2,,,'+x,,,,,,
Day 2,09:52:10,3,304,dMRI,DWI_dir95_RL,C,2,,,'+x,,,1,Y,100.0,100.0
Day 2,10:02:15,3,305,dMRI_SBRef,DWI_dir95_LR_SBRef,C,2,,,'-x,,,,,,
Day 2,10:02:15,3,306,dMRI,DWI_dir95_LR,C,2,,,'-x,,,2,Y,100.0,100.0
Day 2,10:12:29,3,307,dMRI_SBRef,DWI_dir96_RL_SBRef,C,2,,,'+x,,,,,,
Day 2,10:12:29,3,308,dMRI,DWI_dir96_RL,C,2,,,'+x,,,3,Y,100.0,100.0
Day 2,10:22:48,3,309,dMRI_SBRef,DWI_dir96_LR_SBRef,C,2,,,'-x,,,,,,
Day 2,10:22:48,3,310,dMRI,DWI_dir96_LR,C,2,,,'-x,,,4,Y,100.0,100.0
Day 2,10:33:00,3,311,dMRI_SBRef,DWI_dir97_RL_SBRef,C,2,,,'+x,,,,,,
Day 2,10:33:00,3,312,dMRI,DWI_dir97_RL,C,2,,,'+x,,,5,Y,100.0,100.0
Day 2,10:43:19,3,313,dMRI_SBRef,DWI_dir97_LR_SBRef,C,2,,,'-x,,,,,,
Day 2,10:43:19,3,314,dMRI,DWI_dir97_LR,C,2,,,'-x,,,6,Y,100.0,100.0
Day 2,12:39:45,4,401,Bias_Receive,BIAS_BC,A,3,,,,,,,,,
Day 2,12:40:11,4,402,Bias_Receive,BIAS_32CH,A,3,,,,,,,,,
Day 2,12:41:26,4,403,FieldMap_SE_EPI,SpinEchoFieldMap_RL,D,3,1,,'+x,,,,,,
Day 2,12:41:58,4,404,FieldMap_SE_EPI,SpinEchoFieldMap_LR,D,3,1,,'-x,,,,,,
Day 2,12:42:55,4,405,rfMRI_SBRef,rfMRI_REST1_RL_SBRef,D,3,1,,'+x,,,,,,
Day 2,12:42:55,4,406,rfMRI,rfMRI_REST1_RL,D,3,1,,'+x,,,1,Y,100.0,100.0
Day 2,12:57:55,4,407,rfMRI_SBRef,rfMRI_REST1_LR_SBRef,D,3,1,,'-x,,,,,,
Day 2,12:57:55,4,408,rfMRI,rfMRI_REST1_LR,D,3,1,,'-x,,,2,Y,100.0,100.0
Day 2,13:15:35,4,411,FieldMap_SE_EPI,SpinEchoFieldMap_RL,D,3,2,,'+x,,,,,,
Day 2,13:16:07,4,412,FieldMap_SE_EPI,SpinEchoFieldMap_LR,D,3,2,,'-x,,,,,,
Day 2,13:17:20,4,413,tfMRI_SBRef,tfMRI_WM_RL_SBRef,D,3,2,,'+x,,1,,,,
Day 2,13:17:20,4,414,tfMRI,tfMRI_WM_RL,D,3,2,,'+x,,1,1,Y,100.0,100.0
Day 2,13:23:21,4,415,tfMRI_SBRef,tfMRI_WM_LR_SBRef,D,3,2,,'-x,,2,,,,
Day 2,13:23:21,4,416,tfMRI,tfMRI_WM_LR,D,3,2,,'-x,,2,2,Y,100.0,100.0
Day 2,13:29:13,4,417,tfMRI_SBRef,tfMRI_GAMBLING_RL_SBRef,D,3,2,,'+x,,1,,,,
Day 2,13:29:13,4,418,tfMRI,tfMRI_GAMBLING_RL,D,3,2,,'+x,,1,1,Y,100.0,100.0
Day 2,13:32:57,4,419,tfMRI_SBRef,tfMRI_GAMBLING_LR_SBRef,D,3,2,,'-x,,2,,,,
Day 2,13:32:57,4,420,tfMRI,tfMRI_GAMBLING_LR,D,3,2,,'-x,,2,2,Y,100.0,100.0
Day 2,13:37:04,4,421,tfMRI_SBRef,tfMRI_MOTOR_RL_SBRef,D,3,2,,'+x,,1,,,,
Day 2,13:37:04,4,422,tfMRI,tfMRI_MOTOR_RL,D,3,2,,'+x,,1,1,Y,100.0,100.0
Day 2,13:41:11,4,423,tfMRI_SBRef,tfMRI_MOTOR_LR_SBRef,D,3,2,,'-x,,2,,,,
Day 2,13:41:11,4,424,tfMRI,tfMRI_MOTOR_LR,D,3,2,,'-x,,2,2,Y,100.0,100.0
Day 3,09:46:23,5,501,Bias_Receive,BIAS_BC,A,4,,,,,,,,,
Day 3,09:46:50,5,502,Bias_Receive,BIAS_32CH,A,4,,,,,,,,,
Day 3,09:48:03,5,503,FieldMap_SE_EPI,SpinEchoFieldMap_RL,E,4,3,,'+x,,,,,,
Day 3,09:48:38,5,504,FieldMap_SE_EPI,SpinEchoFieldMap_LR,F,4,3,,'-x,,,,,,
Day 3,09:49:32,5,505,rfMRI_SBRef,rfMRI_REST2_LR_SBRef,G,4,3,,'-x,,,,,,
Day 3,09:49:32,5,506,rfMRI,rfMRI_REST2_LR,G,4,3,,'-x,,,1,Y,100.0,100.0
Day 3,10:04:28,5,507,rfMRI_SBRef,rfMRI_REST2_RL_SBRef,H,4,3,,'+x,,,,,,
Day 3,10:04:28,5,508,rfMRI,rfMRI_REST2_RL,H,4,3,,'+x,,,2,Y,100.0,100.0
Day 3,10:22:32,5,511,FieldMap_SE_EPI,SpinEchoFieldMap_RL,I,4,4,,'+x,,,,,,
Day 3,10:23:13,5,512,FieldMap_SE_EPI,SpinEchoFieldMap_LR,J,4,4,,'-x,,,,,,
Day 3,10:24:10,5,513,tfMRI_SBRef,tfMRI_LANGUAGE_RL_SBRef,H,4,4,,'+x,,1,,,,
Day 3,10:24:10,5,514,tfMRI,tfMRI_LANGUAGE_RL,H,4,4,,'+x,,1,1,Y,100.0,100.0
Day 3,10:28:43,5,515,tfMRI_SBRef,tfMRI_LANGUAGE_LR_SBRef,K,4,4,,'-x,,2,,,,
Day 3,10:28:43,5,516,tfMRI,tfMRI_LANGUAGE_LR,K,4,4,,'-x,,2,2,Y,100.0,100.0
Day 3,10:33:28,5,517,tfMRI_SBRef,tfMRI_SOCIAL_RL_SBRef,L,4,4,,'+x,,1,,,,
Day 3,10:33:28,5,518,tfMRI,tfMRI_SOCIAL_RL,L,4,4,,'+x,,1,1,Y,100.0,100.0
Day 3,10:37:28,5,519,tfMRI_SBRef,tfMRI_SOCIAL_LR_SBRef,M,4,4,,'-x,,2,,,,
Day 3,10:37:28,5,520,tfMRI,tfMRI_SOCIAL_LR,M,4,4,,'-x,,2,2,Y,100.0,100.0
Day 3,10:42:05,5,521,tfMRI_SBRef,tfMRI_RELATIONAL_RL_SBRef,N,4,4,,'+x,,1,,,,
Day 3,10:42:05,5,522,tfMRI,tfMRI_RELATIONAL_RL,N,4,4,,'+x,,1,1,Y,100.0,100.0
Day 3,10:45:50,5,523,tfMRI_SBRef,tfMRI_RELATIONAL_LR_SBRef,J,4,4,,'-x,,2,,,,
Day 3,10:45:50,5,524,tfMRI,tfMRI_RELATIONAL_LR,J,4,4,,'-x,,2,2,Y,100.0,100.0
Day 3,10:49:37,5,525,tfMRI_SBRef,tfMRI_EMOTION_RL_SBRef,O,4,4,,'+x,,1,,,,
Day 3,10:49:37,5,526,tfMRI,tfMRI_EMOTION_RL,O,4,4,,'+x,,1,1,Y,100.0,100.0
Day 3,10:52:22,5,527,tfMRI_SBRef,tfMRI_EMOTION_LR_SBRef,P,4,4,,'-x,,2,,,,
