Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,10:25:35,1,101,Bias_Receive,BIAS_BC,A,1,,,,,,,,,
Day 1,10:26:01,1,102,Bias_Receive,BIAS_32CH,A,1,,,,,,,,,
Day 1,10:28:07,1,103,T1w,T1w_MPR1,B,1,,1,,'+z,,,,,
Day 1,10:47:24,1,105,T1w,T1w_MPR2,B,1,,1,,'+z,,,,,
Day 1,11:05:48,1,107,FieldMap,FieldMap_Magnitude,C,1,,1,,,,,,,
Day 1,11:05:49,1,108,FieldMap,FieldMap_Phase,C,1,,1,,,,,,,
Day 1,11:08:10,1,109,Bias_Transmit,AFI,D,1,,,,,,,,,
Day 1,11:13:12,1,110,T2w,T2w_SPC1,B,1,,,,'+z,,,,,
Day 1,12:25:06,2,201,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 1,12:25:33,2,202,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 1,12:26:48,2,203,FieldMap_SE_EPI,SpinEchoFieldMap_RL,E,2,1,,'+x,,,,,,
Day 1,12:27:21,2,204,FieldMap_SE_EPI,SpinEchoFieldMap_LR,E,2,1,,'-x,,,,,,
Day 1,12:28:51,2,205,rfMRI_SBRef,rfMRI_REST1_RL_SBRef,E,2,1,,'+x,,,,,,
Day 1,12:28:51,2,206,rfMRI,rfMRI_REST1_RL,E,2,1,,'+x,,,1,Y,100.0,100.0
Day 1,12:44:13,2,207,rfMRI_SBRef,rfMRI_REST1_LR_SBRef,E,2,1,,'-x,,,,,,
Day 1,12:44:13,2,208,rfMRI,rfMRI_REST1_LR,E,2,1,,'-x,,,2,Y,100.0,100.0
Day 1,13:01:56,2,211,FieldMap_SE_EPI,SpinEchoFieldMap_RL,E,2,2,,'+x,,,,,,
Day 1,13:02:28,2,212,FieldMap_SE_EPI,SpinEchoFieldMap_LR,E,2,2,,'-x,,,,,,
Day 1,13:05:13,2,213,tfMRI_SBRef,tfMRI_WM_RL_SBRef,E,2,2,,'+x,,1,,,,
Day 1,13:05:13,2,214,tfMRI,tfMRI_WM_RL,E,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,13:12:47,2,215,tfMRI_SBRef,tfMRI_WM_LR_SBRef,E,2,2,,'-x,,2,,,,
Day 1,13:12:47,2,216,tfMRI,tfMRI_WM_LR,E,2,2,,'-x,,2,2,Y,100.0,100.0
Day 1,13:18:45,2,217,tfMRI_SBRef,tfMRI_GAMBLING_RL_SBRef,E,2,2,,'+x,,1,,,,
Day 1,13:18:45,2,218,tfMRI,tfMRI_GAMBLING_RL,E,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,13:22:43,2,219,tfMRI_SBRef,tfMRI_GAMBLING_LR_SBRef,E,2,2,,'-x,,2,,,,
Day 1,13:22:43,2,220,tfMRI,tfMRI_GAMBLING_LR,E,2,2,,'-x,,2,2,Y,100.0,100.0
Day 1,13:26:55,2,221,tfMRI_SBRef,tfMRI_MOTOR_RL_SBRef,E,2,2,,'+x,,1,,,,
Day 1,13:26:55,2,222,tfMRI,tfMRI_MOTOR_RL,E,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,13:31:07,2,223,tfMRI_SBRef,tfMRI_MOTOR_LR_SBRef,E,2,2,,'-x,,2,,,,
Day 1,13:31:07,2,224,tfMRI,tfMRI_MOTOR_LR,E,2,2,,'-x,,2,2,Y,100.0,100.0
Day 2,12:06:17,4,401,Bias_Receive,BIAS_BC,A,4,,,,,,,,,
Day 2,12:06:44,4,402,Bias_Receive,BIAS_32CH,A,4,,,,,,,,,
Day 2,12:07:59,4,403,FieldMap_SE_EPI,SpinEchoFieldMap_RL,F,4,3,,'+x,,,,,,
Day 2,12:08:32,4,404,FieldMap_SE_EPI,SpinEchoFieldMap_LR,F,4,3,,'-x,,,,,,
Day 2,12:18:56,4,405,rfMRI_SBRef,rfMRI_REST2_RL_SBRef,F,4,3,,'+x,,,,,,
Day 2,12:18:56,4,406,rfMRI,rfMRI_REST2_RL,F,4,3,,'+x,,,1,Y,100.0,100.0
Day 2,12:33:56,4,407,rfMRI_SBRef,rfMRI_REST2_LR_SBRef,F,4,3,,'-x,,,,,,
Day 2,12:33:56,4,408,rfMRI,rfMRI_REST2_LR,F,4,3,,'-x,,,2,Y,100.0,100.0
Day 2,13:08:11,4,413,Bias_Receive,BIAS_BC,A,5,,,,,,,,,
Day 2,13:08:39,4,414,Bias_Receive,BIAS_32CH,A,5,,,,,,,,,
Day 2,13:09:50,4,415,FieldMap_SE_EPI,SpinEchoFieldMap_RL,G,5,5,,'+x,,,,,,
Day 2,13:10:24,4,416,FieldMap_SE_EPI,SpinEchoFieldMap_LR,G,5,5,,'-x,,,,,,
Day 2,13:12:10,4,417,tfMRI_SBRef,tfMRI_LANGUAGE_RL_SBRef,G,5,5,,'+x,,1,,,,
Day 2,13:12:10,4,418,tfMRI,tfMRI_LANGUAGE_RL,G,5,5,,'+x,,1,1,Y,100.0,100.0
Day 2,13:17:10,4,419,tfMRI_SBRef,tfMRI_LANGUAGE_LR_SBRef,G,5,5,,'-x,,2,,,,
Day 2,13:17:10,4,420,tfMRI,tfMRI_LANGUAGE_LR,G,5,5,,'-x,,2,2,Y,100.0,100.0
Day 2,13:22:11,4,421,tfMRI_SBRef,tfMRI_SOCIAL_RL_SBRef,G,5,5,,'+x,,1,,,,
Day 2,13:22:11,4,422,tfMRI,tfMRI_SOCIAL_RL,G,5,5,,'+x,,1,1,Y,100.0,100.0
Day 2,13:26:22,4,423,tfMRI_SBRef,tfMRI_SOCIAL_LR_SBRef,G,5,5,,'-x,,2,,,,
Day 2,13:26:22,4,424,tfMRI,tfMRI_SOCIAL_LR,G,5,5,,'-x,,2,2,Y,100.0,100.0
Day 2,13:30:52,4,425,tfMRI_SBRef,tfMRI_RELATIONAL_RL_SBRef,G,5,5,,'+x,,1,,,,
Day 2,13:30:52,4,426,tfMRI,tfMRI_RELATIONAL_RL,G,5,5,,'+x,,1,1,Y,100.0,100.0
Day 2,13:34:35,4,427,tfMRI_SBRef,tfMRI_RELATIONAL_LR_SBRef,G,5,5,,'-x,,2,,,,
Day 2,13:34:35,4,428,tfMRI,tfMRI_RELATIONAL_LR,G,5,5,,'-x,,2,2,Y,100.0,100.0
Day 2,13:38:15,4,429,tfMRI_SBRef,tfMRI_EMOTION_RL_SBRef,G,5,5,,'+x,,1,,,,
Day 2,13:38:15,4,430,tfMRI,tfMRI_EMOTION_RL,G,5,5,,'+x,,1,1,Y,100.0,100.0
Day 2,13:41:15,4,431,tfMRI_SBRef,tfMRI_EMOTION_LR_SBRef,G,5,5,,'-x,,2,,,,
Day 2,13:41:15,4,432,tfMRI,tfMRI_EMOTION_LR,G,5,5,,'-x,,2,2,Y,100.0,100.0
