Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,09:37:40,1,101,Bias_Receive,BIAS_BC,A,1,,,,,,,,,
Day 1,09:38:07,1,102,Bias_Receive,BIAS_32CH,A,1,,,,,,,,,
Day 1,09:39:55,1,103,T1w,T1w_MPR1,B,1,,,,'+z,,,,,
Day 1,09:48:17,1,104,T2w,T2w_SPC1,B,1,,,,'+z,,,,,
Day 1,09:57:50,1,105,T1w,T1w_MPR2,B,1,,,,'+z,,,,,
Day 1,11:41:43,2,201,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 1,11:42:10,2,202,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 1,11:43:24,2,203,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,1,,'+x,,,,,,
Day 1,11:43:56,2,204,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,2,1,,'-x,,,,,,
Day 1,11:45:18,2,205,rfMRI_SBRef,rfMRI_REST1_RL_SBRef,C,2,1,,'+x,,,,,,
Day 1,11:45:18,2,206,rfMRI,rfMRI_REST1_RL,C,2,1,,'+x,,,1,Y,100.0,
Day 2,10:20:45,3,301,Bias_Receive,BIAS_BC,A,3,,,,,,,,,
Day 2,10:21:12,3,302,Bias_Receive,BIAS_32CH,A,3,,,,,,,,,
Day 2,10:28:34,3,303,dMRI_SBRef,DWI_dir95_RL_SBRef,D,3,,,'+x,,,,,,
Day 2,10:28:34,3,304,dMRI,DWI_dir95_RL,D,3,,,'+x,,,1,Y,100.0,100.0
Day 2,10:38:50,3,305,dMRI_SBRef,DWI_dir95_LR_SBRef,D,3,,,'-x,,,,,,
Day 2,10:38:50,3,306,dMRI,DWI_dir95_LR,D,3,,,'-x,,,2,Y,100.0,100.0
Day 2,10:49:37,3,307,dMRI_SBRef,DWI_dir96_RL_SBRef,D,3,,,'+x,,,,,,
Day 2,10:49:37,3,308,dMRI,DWI_dir96_RL,D,3,,,'+x,,,3,Y,100.0,100.0
Day 2,11:00:11,3,309,dMRI_SBRef,DWI_dir96_LR_SBRef,D,3,,,'-x,,,,,,
Day 2,11:00:11,3,310,dMRI,DWI_dir96_LR,D,3,,,'-x,,,4,Y,100.0,100.0
Day 2,11:10:56,3,311,dMRI_SBRef,DWI_dir97_RL_SBRef,D,3,,,'+x,,,,,,
Day 2,11:10:56,3,312,dMRI,DWI_dir97_RL,D,3,,,'+x,,,5,Y,100.0,
Day 2,12:59:50,4,401,Bias_Receive,BIAS_BC,A,4,,,,,,,,,
Day 2,13:00:15,4,402,Bias_Receive,BIAS_32CH,A,4,,,,,,,,,
Day 2,13:01:26,4,403,FieldMap_SE_EPI,SpinEchoFieldMap_RL,E,4,2,,'+x,,,,,,
Day 2,13:01:59,4,404,FieldMap_SE_EPI,SpinEchoFieldMap_LR,E,4,2,,'-x,,,,,,
Day 2,13:06:23,4,407,tfMRI_SBRef,tfMRI_WM_RL_SBRef,E,4,2,,'+x,,1,,,,
Day 2,13:06:23,4,408,tfMRI,tfMRI_WM_RL,E,4,2,,'+x,,1,1,Y,100.0,100.0
Day 2,13:12:07,4,409,tfMRI_SBRef,tfMRI_WM_LR_SBRef,E,4,2,,'-x,,2,,,,
Day 2,13:12:07,4,410,tfMRI,tfMRI_WM_LR,E,4,2,,'-x,,2,2,Y,100.0,100.0
Day 2,13:18:08,4,411,tfMRI_SBRef,tfMRI_GAMBLING_RL_SBRef,E,4,2,,'+x,,1,,,,
Day 2,13:18:08,4,412,tfMRI,tfMRI_GAMBLING_RL,E,4,2,,'+x,,1,1,Y,100.0,100.0
Day 2,13:21:48,4,413,tfMRI_SBRef,tfMRI_GAMBLING_LR_SBRef,E,4,2,,'-x,,2,,,,
Day 2,13:21:48,4,414,tfMRI,tfMRI_GAMBLING_LR,E,4,2,,'-x,,2,2,Y,100.0,100.0
Day 2,13:26:26,4,415,tfMRI_SBRef,tfMRI_MOTOR_RL_SBRef,E,4,2,,'+x,,1,,,,
Day 2,13:26:26,4,416,tfMRI,tfMRI_MOTOR_RL,E,4,2,,'+x,,1,1,Y,100.0,100.0
Day 2,13:30:31,4,417,tfMRI_SBRef,tfMRI_MOTOR_LR_SBRef,E,4,2,,'-x,,2,,,,
Day 2,13:30:31,4,418,tfMRI,tfMRI_MOTOR_LR,E,4,2,,'-x,,2,2,Y,100.0,100.0
