Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,19:30:09,1,101,Bias_Receive,BIAS_BC,A,1,,,,,,,,,
Day 1,19:30:35,1,102,Bias_Receive,BIAS_32CH,A,1,,,,,,,,,
Day 1,19:32:57,1,103,T1w,T1w_MPR1,B,1,,1,,'+z,,,,,
Day 1,19:43:23,1,104,T2w,T2w_SPC1,B,1,,1,,'+z,,,,,
Day 1,19:54:05,1,105,T1w,T1w_MPR2,B,1,,1,,'+z,,,,,
Day 1,20:13:41,1,107,FieldMap,FieldMap_Magnitude,B,1,,1,,,,,,,
Day 1,20:13:42,1,108,FieldMap,FieldMap_Phase,B,1,,1,,,,,,,
Day 1,20:15:58,1,109,Bias_Transmit,AFI,B,1,,,,,,,,,
Day 2,18:02:44,2,201,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 2,18:03:10,2,202,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 2,18:04:21,2,203,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,1,,'+x,,,,,,
Day 2,18:04:53,2,204,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,2,1,,'-x,,,,,,
Day 2,18:14:30,2,207,tfMRI_SBRef,tfMRI_WM_RL_SBRef,C,2,1,,'+x,,1,,,,
Day 2,18:14:30,2,208,tfMRI,tfMRI_WM_RL,C,2,1,,'+x,,1,1,Y,100.0,100.0
Day 2,18:20:30,2,209,tfMRI_SBRef,tfMRI_WM_LR_SBRef,C,2,1,,'-x,,2,,,,
Day 2,18:20:30,2,210,tfMRI,tfMRI_WM_LR,C,2,1,,'-x,,2,2,Y,100.0,100.0
Day 2,18:26:32,2,211,tfMRI_SBRef,tfMRI_GAMBLING_RL_SBRef,C,2,1,,'+x,,1,,,,
Day 2,18:26:32,2,212,tfMRI,tfMRI_GAMBLING_RL,C,2,1,,'+x,,1,1,Y,100.0,100.0
Day 2,18:30:37,2,213,tfMRI_SBRef,tfMRI_GAMBLING_LR_SBRef,C,2,1,,'-x,,2,,,,
Day 2,18:30:37,2,214,tfMRI,tfMRI_GAMBLING_LR,C,2,1,,'-x,,2,2,Y,100.0,100.0
