Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,08:44:38,1,101,Bias_Receive,BIAS_BC,A,1,,,,,,,,,
Day 1,08:45:05,1,102,Bias_Receive,BIAS_32CH,A,1,,,,,,,,,
Day 1,08:46:43,1,103,T1w,T1w_MPR1,B,1,,1,,'+z,,,,,
Day 1,08:55:22,1,104,T2w,T2w_SPC1,B,1,,1,,'+z,,,,,
Day 1,09:04:08,1,105,T1w,T1w_MPR2,B,1,,1,,'+z,,,,,
Day 1,09:21:35,1,107,FieldMap,FieldMap_Magnitude,B,1,,1,,,,,,,
Day 1,09:21:36,1,108,FieldMap,FieldMap_Phase,B,1,,1,,,,,,,
Day 1,09:23:51,1,109,Bias_Transmit,AFI,B,1,,,,,,,,,
Day 1,10:45:39,2,201,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 1,10:46:05,2,202,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 1,10:47:21,2,203,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,1,,'+x,,,,,,
Day 1,10:47:53,2,204,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,2,1,,'-x,,,,,,
Day 1,10:48:45,2,205,rfMRI_SBRef,rfMRI_REST1_RL_SBRef,C,2,1,,'+x,,,,,,
Day 1,10:48:45,2,206,rfMRI,rfMRI_REST1_RL,C,2,1,,'+x,,,1,Y,100.0,100.0
Day 1,11:04:27,2,207,rfMRI_SBRef,rfMRI_REST1_LR_SBRef,C,2,1,,'-x,,,,,,
Day 1,11:04:27,2,208,rfMRI,rfMRI_REST1_LR,C,2,1,,'-x,,,2,Y,100.0,100.0
Day 1,11:28:12,2,211,Bias_Receive,BIAS_BC,A,3,,,,,,,,,
Day 1,11:28:38,2,212,Bias_Receive,BIAS_32CH,A,3,,,,,,,,,
Day 1,11:29:57,2,213,FieldMap_SE_EPI,SpinEchoFieldMap_RL,D,3,2,,'+x,,,,,,
Day 1,11:30:29,2,214,FieldMap_SE_EPI,SpinEchoFieldMap_LR,D,3,2,,'-x,,,,,,
Day 1,11:31:34,2,215,tfMRI_SBRef,tfMRI_WM_RL_SBRef,D,3,2,,'+x,,1,,,,
Day 1,11:31:34,2,216,tfMRI,tfMRI_WM_RL,D,3,2,,'+x,,1,1,Y,100.0,100.0
Day 1,11:37:32,2,217,tfMRI_SBRef,tfMRI_WM_LR_SBRef,D,3,2,,'-x,,2,,,,
Day 1,11:37:32,2,218,tfMRI,tfMRI_WM_LR,D,3,2,,'-x,,2,2,Y,100.0,100.0
Day 1,11:43:24,2,219,tfMRI_SBRef,tfMRI_GAMBLING_RL_SBRef,D,3,2,,'+x,,1,,,,
Day 1,11:43:24,2,220,tfMRI,tfMRI_GAMBLING_RL,D,3,2,,'+x,,1,1,Y,100.0,100.0
Day 1,11:47:09,2,221,tfMRI_SBRef,tfMRI_GAMBLING_LR_SBRef,D,3,2,,'-x,,2,,,,
Day 1,11:47:09,2,222,tfMRI,tfMRI_GAMBLING_LR,D,3,2,,'-x,,2,2,Y,100.0,100.0
