Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,10:06:56,1,101,Bias_Receive,BIAS_BC,A,1,,,,,,,,,
Day 1,10:07:22,1,102,Bias_Receive,BIAS_32CH,A,1,,,,,,,,,
Day 1,10:08:58,1,103,T1w,T1w_MPR1,B,1,,1,,'+z,,,,,
Day 1,10:20:21,1,104,T2w,T2w_SPC1,B,1,,1,,'+z,,,,,
Day 1,10:29:33,1,105,T1w,T1w_MPR2,B,1,,1,,'+z,,,,,
Day 1,10:38:08,1,106,T2w,T2w_SPC2,B,1,,1,,'+z,,,,,
Day 1,10:47:52,1,107,FieldMap,FieldMap_Magnitude,C,1,,1,,,,,,,
Day 1,10:47:52,1,108,FieldMap,FieldMap_Phase,C,1,,1,,,,,,,
Day 1,10:50:11,1,109,Bias_Transmit,AFI,D,1,,,,,,,,,
Day 1,13:47:48,2,201,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 1,13:48:16,2,202,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 1,13:49:30,2,203,FieldMap_SE_EPI,SpinEchoFieldMap_RL,E,2,1,,'+x,,,,,,
Day 1,13:50:03,2,204,FieldMap_SE_EPI,SpinEchoFieldMap_LR,E,2,1,,'-x,,,,,,
Day 1,13:51:13,2,205,rfMRI_SBRef,rfMRI_REST1_RL_SBRef,E,2,1,,'+x,,,,,,
Day 1,13:51:13,2,206,rfMRI,rfMRI_REST1_RL,E,2,1,,'+x,,,1,Y,100.0,100.0
Day 1,14:06:11,2,207,rfMRI_SBRef,rfMRI_REST1_LR_SBRef,E,2,1,,'-x,,,,,,
Day 1,14:06:11,2,208,rfMRI,rfMRI_REST1_LR,E,2,1,,'-x,,,2,Y,100.0,100.0
Day 1,14:23:44,2,211,FieldMap_SE_EPI,SpinEchoFieldMap_RL,E,2,2,,'+x,,,,,,
Day 1,14:24:17,2,212,FieldMap_SE_EPI,SpinEchoFieldMap_LR,E,2,2,,'-x,,,,,,
Day 1,14:27:20,2,213,tfMRI_SBRef,tfMRI_WM_RL_SBRef,E,2,2,,'+x,,1,,,,
Day 1,14:27:20,2,214,tfMRI,tfMRI_WM_RL,E,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,14:33:03,2,215,tfMRI_SBRef,tfMRI_WM_LR_SBRef,E,2,2,,'-x,,2,,,,
Day 1,14:33:03,2,216,tfMRI,tfMRI_WM_LR,E,2,2,,'-x,,2,2,Y,100.0,100.0
Day 1,14:39:33,2,217,tfMRI_SBRef,tfMRI_GAMBLING_RL_SBRef,E,2,2,,'+x,,1,,,,
Day 1,14:39:33,2,218,tfMRI,tfMRI_GAMBLING_RL,E,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,14:43:25,2,219,tfMRI_SBRef,tfMRI_GAMBLING_LR_SBRef,E,2,2,,'-x,,2,,,,
Day 1,14:43:25,2,220,tfMRI,tfMRI_GAMBLING_LR,E,2,2,,'-x,,2,2,Y,100.0,100.0
Day 1,14:47:48,2,221,tfMRI_SBRef,tfMRI_MOTOR_RL_SBRef,E,2,2,,'+x,,1,,,,
Day 1,14:47:48,2,222,tfMRI,tfMRI_MOTOR_RL,E,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,14:51:54,2,223,tfMRI_SBRef,tfMRI_MOTOR_LR_SBRef,E,2,2,,'-x,,2,,,,
Day 1,14:51:54,2,224,tfMRI,tfMRI_MOTOR_LR,E,2,2,,'-x,,2,2,Y,100.0,100.0
Day 2,08:46:45,3,301,Bias_Receive,BIAS_BC,A,3,,,,,,,,,
Day 2,08:47:11,3,302,Bias_Receive,BIAS_32CH,A,3,,,,,,,,,
Day 2,08:48:31,3,303,dMRI_SBRef,DWI_dir96_RL_SBRef,F,3,,,'+x,,,,,,
Day 2,08:48:31,3,304,dMRI,DWI_dir96_RL,F,3,,,'+x,,,1,Y,100.0,100.0
Day 2,08:58:41,3,305,dMRI_SBRef,DWI_dir96_LR_SBRef,F,3,,,'-x,,,,,,
Day 2,08:58:41,3,306,dMRI,DWI_dir96_LR,F,3,,,'-x,,,2,Y,100.0,100.0
Day 2,09:08:53,3,307,dMRI_SBRef,DWI_dir97_RL_SBRef,F,3,,,'+x,,,,,,
Day 2,09:08:53,3,308,dMRI,DWI_dir97_RL,F,3,,,'+x,,,3,Y,100.0,100.0
Day 2,09:19:17,3,309,dMRI_SBRef,DWI_dir97_LR_SBRef,F,3,,,'-x,,,,,,
Day 2,09:19:17,3,310,dMRI,DWI_dir97_LR,F,3,,,'-x,,,4,Y,100.0,100.0
Day 2,11:17:21,4,401,Bias_Receive,BIAS_BC,A,4,,,,,,,,,
Day 2,11:17:50,4,402,Bias_Receive,BIAS_32CH,A,4,,,,,,,,,
Day 2,11:19:03,4,403,FieldMap_SE_EPI,SpinEchoFieldMap_RL,G,4,3,,'+x,,,,,,
Day 2,11:19:36,4,404,FieldMap_SE_EPI,SpinEchoFieldMap_LR,G,4,3,,'-x,,,,,,
Day 2,11:21:03,4,405,rfMRI_SBRef,rfMRI_REST2_RL_SBRef,G,4,3,,'+x,,,,,,
Day 2,11:21:03,4,406,rfMRI,rfMRI_REST2_RL,G,4,3,,'+x,,,1,Y,100.0,100.0
Day 2,11:35:57,4,407,rfMRI_SBRef,rfMRI_REST2_LR_SBRef,G,4,3,,'-x,,,,,,
Day 2,11:35:57,4,408,rfMRI,rfMRI_REST2_LR,G,4,3,,'-x,,,2,Y,100.0,100.0
Day 2,11:54:31,4,411,FieldMap_SE_EPI,SpinEchoFieldMap_RL,G,4,4,,'+x,,,,,,
Day 2,11:55:03,4,412,FieldMap_SE_EPI,SpinEchoFieldMap_LR,G,4,4,,'-x,,,,,,
Day 2,11:56:26,4,413,tfMRI_SBRef,tfMRI_LANGUAGE_RL_SBRef,G,4,4,,'+x,,1,,,,
Day 2,11:56:26,4,414,tfMRI,tfMRI_LANGUAGE_RL,G,4,4,,'+x,,1,1,Y,100.0,100.0
Day 2,12:00:59,4,415,tfMRI_SBRef,tfMRI_LANGUAGE_LR_SBRef,G,4,4,,'-x,,2,,,,
Day 2,12:00:59,4,416,tfMRI,tfMRI_LANGUAGE_LR,G,4,4,,'-x,,2,2,Y,100.0,100.0
Day 2,12:06:04,4,417,tfMRI_SBRef,tfMRI_SOCIAL_RL_SBRef,G,4,4,,'+x,,1,,,,
Day 2,12:06:04,4,418,tfMRI,tfMRI_SOCIAL_RL,G,4,4,,'+x,,1,1,Y,100.0,100.0
Day 2,12:10:09,4,419,tfMRI_SBRef,tfMRI_SOCIAL_LR_SBRef,G,4,4,,'-x,,2,,,,
Day 2,12:10:09,4,420,tfMRI,tfMRI_SOCIAL_LR,G,4,4,,'-x,,2,2,Y,100.0,100.0
Day 2,12:14:52,4,421,tfMRI_SBRef,tfMRI_RELATIONAL_RL_SBRef,G,4,4,,'+x,,1,,,,
Day 2,12:14:52,4,422,tfMRI,tfMRI_RELATIONAL_RL,G,4,4,,'+x,,1,1,Y,100.0,100.0
Day 2,12:18:25,4,423,tfMRI_SBRef,tfMRI_RELATIONAL_LR_SBRef,G,4,4,,'-x,,2,,,,
Day 2,12:18:25,4,424,tfMRI,tfMRI_RELATIONAL_LR,G,4,4,,'-x,,2,2,Y,100.0,100.0
Day 2,12:22:12,4,425,tfMRI_SBRef,tfMRI_EMOTION_RL_SBRef,G,4,4,,'+x,,1,,,,
Day 2,12:22:12,4,426,tfMRI,tfMRI_EMOTION_RL,G,4,4,,'+x,,1,1,Y,100.0,100.0
Day 2,12:25:11,4,427,tfMRI_SBRef,tfMRI_EMOTION_LR_SBRef,G,4,4,,'-x,,2,,,,
Day 2,12:25:11,4,428,tfMRI,tfMRI_EMOTION_LR,G,4,4,,'-x,,2,2,Y,100.0,100.0
