Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,09:52:10,1,101,Bias_Receive,BIAS_BC,A,1,,,,,,,,,
Day 1,09:52:37,1,102,Bias_Receive,BIAS_32CH,A,1,,,,,,,,,
Day 1,09:54:23,1,103,T1w,T1w_MPR1,B,1,,1,,'+z,,,,,
Day 1,10:02:41,1,104,T2w,T2w_SPC1,B,1,,1,,'+z,,,,,
Day 1,10:11:48,1,105,T1w,T1w_MPR2,B,1,,1,,'+z,,,,,
Day 1,10:20:49,1,106,T2w,T2w_SPC2,B,1,,1,,'+z,,,,,
Day 1,10:29:41,1,107,FieldMap,FieldMap_Magnitude,B,1,,1,,,,,,,
Day 1,10:29:42,1,108,FieldMap,FieldMap_Phase,B,1,,1,,,,,,,
Day 1,10:31:58,1,109,Bias_Transmit,AFI,B,1,,,,,,,,,
Day 1,14:09:49,2,201,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 1,14:10:15,2,202,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 1,14:11:30,2,203,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,1,,'+x,,,,,,
Day 1,14:12:02,2,204,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,2,1,,'-x,,,,,,
Day 1,14:13:03,2,205,rfMRI_SBRef,rfMRI_REST1_RL_SBRef,C,2,1,,'+x,,,,,,
Day 1,14:13:03,2,206,rfMRI,rfMRI_REST1_RL,C,2,1,,'+x,,,1,Y,100.0,100.0
Day 1,14:28:16,2,207,rfMRI_SBRef,rfMRI_REST1_LR_SBRef,C,2,1,,'-x,,,,,,
Day 1,14:28:16,2,208,rfMRI,rfMRI_REST1_LR,C,2,1,,'-x,,,2,Y,100.0,100.0
Day 1,14:46:05,2,211,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,2,,'+x,,,,,,
Day 1,14:46:37,2,212,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,2,2,,'-x,,,,,,
Day 1,14:48:08,2,213,tfMRI_SBRef,tfMRI_WM_RL_SBRef,C,2,2,,'+x,,1,,,,
Day 1,14:48:08,2,214,tfMRI,tfMRI_WM_RL,C,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,14:53:42,2,215,tfMRI_SBRef,tfMRI_WM_LR_SBRef,C,2,2,,'-x,,2,,,,
Day 1,14:53:42,2,216,tfMRI,tfMRI_WM_LR,C,2,2,,'-x,,2,2,Y,100.0,100.0
Day 1,14:59:27,2,217,tfMRI_SBRef,tfMRI_GAMBLING_RL_SBRef,C,2,2,,'+x,,1,,,,
Day 1,14:59:27,2,218,tfMRI,tfMRI_GAMBLING_RL,C,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,15:03:14,2,219,tfMRI_SBRef,tfMRI_GAMBLING_LR_SBRef,C,2,2,,'-x,,2,,,,
Day 1,15:03:14,2,220,tfMRI,tfMRI_GAMBLING_LR,C,2,2,,'-x,,2,2,Y,100.0,100.0
Day 1,15:07:29,2,221,tfMRI_SBRef,tfMRI_MOTOR_RL_SBRef,C,2,2,,'+x,,1,,,,
Day 1,15:07:29,2,222,tfMRI,tfMRI_MOTOR_RL,C,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,15:11:31,2,223,tfMRI_SBRef,tfMRI_MOTOR_LR_SBRef,C,2,2,,'-x,,2,,,,
Day 1,15:11:31,2,224,tfMRI,tfMRI_MOTOR_LR,C,2,2,,'-x,,2,2,Y,100.0,100.0
Day 2,09:48:10,3,301,Bias_Receive,BIAS_BC,A,3,,,,,,,,,
Day 2,09:48:37,3,302,Bias_Receive,BIAS_32CH,A,3,,,,,,,,,
Day 2,09:51:14,3,303,dMRI_SBRef,DWI_dir95_RL_SBRef,D,3,,,'+x,,,,,,
