Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,13:19:43,2,201,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 1,13:20:09,2,202,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 1,13:21:22,2,203,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,1,,'+x,,,,,,
Day 1,13:21:55,2,204,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,2,1,,'-x,,,,,,
Day 1,13:23:06,2,205,rfMRI_SBRef,rfMRI_REST1_RL_SBRef,C,2,1,,'+x,,,,,,
Day 1,13:23:06,2,206,rfMRI,rfMRI_REST1_RL,C,2,1,,'+x,,,1,Y,100.0,100.0
Day 1,13:38:33,2,207,rfMRI_SBRef,rfMRI_REST1_LR_SBRef,C,2,1,,'-x,,,,,,
Day 1,13:38:33,2,208,rfMRI,rfMRI_REST1_LR,C,2,1,,'-x,,,2,Y,100.0,100.0
Day 1,13:56:03,2,211,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,2,,'+x,,,,,,
Day 1,13:56:36,2,212,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,2,2,,'-x,,,,,,
Day 1,13:57:44,2,213,tfMRI_SBRef,tfMRI_WM_RL_SBRef,C,2,2,,'+x,,1,,,,
Day 1,13:57:44,2,214,tfMRI,tfMRI_WM_RL,C,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,14:03:15,2,215,tfMRI_SBRef,tfMRI_WM_LR_SBRef,C,2,2,,'-x,,2,,,,
Day 1,14:03:15,2,216,tfMRI,tfMRI_WM_LR,C,2,2,,'-x,,2,2,Y,100.0,100.0
Day 1,14:09:10,2,217,tfMRI_SBRef,tfMRI_GAMBLING_RL_SBRef,C,2,2,,'+x,,1,,,,
Day 1,14:09:10,2,218,tfMRI,tfMRI_GAMBLING_RL,C,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,14:12:50,2,219,tfMRI_SBRef,tfMRI_GAMBLING_LR_SBRef,C,2,2,,'-x,,2,,,,
Day 1,14:12:50,2,220,tfMRI,tfMRI_GAMBLING_LR,C,2,2,,'-x,,2,2,Y,100.0,100.0
Day 1,14:17:14,2,221,tfMRI_SBRef,tfMRI_MOTOR_RL_SBRef,C,2,2,,'+x,,1,,,,
Day 1,14:17:14,2,222,tfMRI,tfMRI_MOTOR_RL,C,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,14:21:19,2,223,tfMRI_SBRef,tfMRI_MOTOR_LR_SBRef,C,2,2,,'-x,,2,,,,
Day 1,14:21:19,2,224,tfMRI,tfMRI_MOTOR_LR,C,2,2,,'-x,,2,2,Y,100.0,100.0
Day 1,14:49:57,3,301,Bias_Receive,BIAS_BC,A,3,,,,,,,,,
Day 1,14:50:23,3,302,Bias_Receive,BIAS_32CH,A,3,,,,,,,,,
Day 1,14:52:24,3,303,T1w,T1w_MPR1,D,3,,2,,'+z,,,,,
Day 1,15:01:00,3,304,T2w,T2w_SPC1,D,3,,2,,'+z,,,,,
Day 1,15:10:03,3,305,FieldMap,FieldMap_Magnitude,D,3,,2,,,,,,,
Day 1,15:10:03,3,306,FieldMap,FieldMap_Phase,D,3,,2,,,,,,,
Day 1,15:12:19,3,307,Bias_Transmit,AFI,D,3,,,,,,,,,
Day 2,11:29:26,4,401,Bias_Receive,BIAS_BC,A,4,,,,,,,,,
Day 2,11:29:54,4,402,Bias_Receive,BIAS_32CH,A,4,,,,,,,,,
Day 2,11:31:23,4,403,dMRI_SBRef,DWI_dir95_RL_SBRef,E,4,,,'+x,,,,,,
Day 2,11:31:23,4,404,dMRI,DWI_dir95_RL,E,4,,,'+x,,,1,Y,100.0,100.0
Day 2,11:42:05,4,405,dMRI_SBRef,DWI_dir95_LR_SBRef,E,4,,,'-x,,,,,,
Day 2,11:42:05,4,406,dMRI,DWI_dir95_LR,E,4,,,'-x,,,2,Y,100.0,100.0
Day 2,11:53:01,4,407,dMRI_SBRef,DWI_dir96_RL_SBRef,E,4,,,'+x,,,,,,
Day 2,11:53:01,4,408,dMRI,DWI_dir96_RL,E,4,,,'+x,,,3,Y,100.0,100.0
Day 2,12:03:12,4,409,dMRI_SBRef,DWI_dir96_LR_SBRef,E,4,,,'-x,,,,,,
Day 2,12:03:12,4,410,dMRI,DWI_dir96_LR,E,4,,,'-x,,,4,Y,100.0,100.0
Day 2,12:13:24,4,411,dMRI_SBRef,DWI_dir97_RL_SBRef,E,4,,,'+x,,,,,,
Day 2,12:13:24,4,412,dMRI,DWI_dir97_RL,E,4,,,'+x,,,5,Y,100.0,100.0
Day 2,12:23:38,4,413,dMRI_SBRef,DWI_dir97_LR_SBRef,E,4,,,'-x,,,,,,
Day 2,12:23:38,4,414,dMRI,DWI_dir97_LR,E,4,,,'-x,,,6,Y,100.0,100.0
Day 2,14:22:59,5,501,Bias_Receive,BIAS_BC,A,5,,,,,,,,,
Day 2,14:23:24,5,502,Bias_Receive,BIAS_32CH,A,5,,,,,,,,,
Day 2,14:24:38,5,503,FieldMap_SE_EPI,SpinEchoFieldMap_RL,F,5,3,,'+x,,,,,,
Day 2,14:25:10,5,504,FieldMap_SE_EPI,SpinEchoFieldMap_LR,F,5,3,,'-x,,,,,,
Day 2,14:26:14,5,505,rfMRI_SBRef,rfMRI_REST2_LR_SBRef,F,5,3,,'-x,,,,,,
Day 2,14:26:14,5,506,rfMRI,rfMRI_REST2_LR,F,5,3,,'-x,,,1,Y,100.0,100.0
Day 2,14:41:15,5,507,rfMRI_SBRef,rfMRI_REST2_RL_SBRef,F,5,3,,'+x,,,,,,
Day 2,14:41:15,5,508,rfMRI,rfMRI_REST2_RL,F,5,3,,'+x,,,2,Y,100.0,100.0
Day 2,14:59:18,5,511,FieldMap_SE_EPI,SpinEchoFieldMap_RL,F,5,4,,'+x,,,,,,
Day 2,14:59:57,5,512,FieldMap_SE_EPI,SpinEchoFieldMap_LR,F,5,4,,'-x,,,,,,
Day 2,15:04:26,5,513,tfMRI_SBRef,tfMRI_LANGUAGE_LR_SBRef,F,5,4,,'-x,,2,,,,
Day 2,15:04:26,5,514,tfMRI,tfMRI_LANGUAGE_LR,F,5,4,,'-x,,2,1,Y,100.0,100.0
Day 2,15:09:02,5,515,tfMRI_SBRef,tfMRI_LANGUAGE_RL_SBRef,F,5,4,,'+x,,3,,,,
Day 2,15:09:02,5,516,tfMRI,tfMRI_LANGUAGE_RL,F,5,4,,'+x,,3,2,Y,100.0,100.0
Day 2,15:13:50,5,517,tfMRI_SBRef,tfMRI_SOCIAL_RL_SBRef,F,5,4,,'+x,,1,,,,
Day 2,15:13:50,5,518,tfMRI,tfMRI_SOCIAL_RL,F,5,4,,'+x,,1,1,Y,100.0,100.0
Day 2,15:17:57,5,519,tfMRI_SBRef,tfMRI_SOCIAL_LR_SBRef,F,5,4,,'-x,,2,,,,
Day 2,15:17:57,5,520,tfMRI,tfMRI_SOCIAL_LR,F,5,4,,'-x,,2,2,Y,100.0,100.0
Day 2,15:22:42,5,521,tfMRI_SBRef,tfMRI_RELATIONAL_RL_SBRef,F,5,4,,'+x,,1,,,,
Day 2,15:22:42,5,522,tfMRI,tfMRI_RELATIONAL_RL,F,5,4,,'+x,,1,1,Y,100.0,100.0
Day 2,15:26:18,5,523,tfMRI_SBRef,tfMRI_RELATIONAL_LR_SBRef,F,5,4,,'-x,,2,,,,
Day 2,15:26:18,5,524,tfMRI,tfMRI_RELATIONAL_LR,F,5,4,,'-x,,2,2,Y,100.0,100.0
Day 2,15:30:04,5,525,tfMRI_SBRef,tfMRI_EMOTION_RL_SBRef,F,5,4,,'+x,,1,,,,
Day 2,15:30:04,5,526,tfMRI,tfMRI_EMOTION_RL,F,5,4,,'+x,,1,1,Y,100.0,100.0
Day 2,15:32:52,5,527,tfMRI_SBRef,tfMRI_EMOTION_LR_SBRef,F,5,4,,'-x,,2,,,,
Day 2,15:32:52,5,528,tfMRI,tfMRI_EMOTION_LR,F,5,4,,'-x,,2,2,Y,100.0,100.0
