Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,08:39:07,1,101,Bias_Receive,BIAS_BC,A,1,,,,,,,,,
Day 1,08:39:33,1,102,Bias_Receive,BIAS_32CH,A,1,,,,,,,,,
Day 1,08:41:07,1,103,T1w,T1w_MPR1,B,1,,1,,'+z,,,,,
Day 1,08:49:31,1,104,T2w,T2w_SPC1,B,1,,1,,'+z,,,,,
Day 1,08:58:28,1,105,T1w,T1w_MPR2,B,1,,1,,'+z,,,,,
Day 1,09:06:51,1,106,T2w,T2w_SPC2,B,1,,1,,'+z,,,,,
Day 1,09:15:46,1,107,FieldMap,FieldMap_Magnitude,B,1,,1,,,,,,,
Day 1,09:15:47,1,108,FieldMap,FieldMap_Phase,B,1,,1,,,,,,,
Day 1,09:18:02,1,109,Bias_Transmit,AFI,B,1,,,,,,,,,
Day 1,10:40:04,2,201,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 1,10:40:31,2,202,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 1,10:41:42,2,203,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,1,,'+x,,,,,,
Day 1,10:42:14,2,204,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,2,1,,'-x,,,,,,
Day 1,10:43:19,2,205,rfMRI_SBRef,rfMRI_REST1_RL_SBRef,C,2,1,,'+x,,,,,,
Day 1,10:43:19,2,206,rfMRI,rfMRI_REST1_RL,C,2,1,,'+x,,,1,Y,100.0,
Day 1,11:03:06,2,207,Bias_Receive,BIAS_BC,A,3,,,,,,,,,
Day 1,11:03:32,2,208,Bias_Receive,BIAS_32CH,A,3,,,,,,,,,
Day 1,11:04:42,2,209,FieldMap_SE_EPI,SpinEchoFieldMap_RL,D,3,2,,'+x,,,,,,
Day 1,11:05:15,2,210,FieldMap_SE_EPI,SpinEchoFieldMap_LR,D,3,2,,'-x,,,,,,
Day 1,11:12:21,2,213,tfMRI_SBRef,tfMRI_WM_LR_SBRef,D,3,2,,'-x,,2,,,,
Day 1,11:12:21,2,214,tfMRI,tfMRI_WM_LR,D,3,2,,'-x,,2,1,Y,100.0,100.0
Day 1,11:17:50,2,215,tfMRI_SBRef,tfMRI_WM_RL_SBRef,D,3,2,,'+x,,3,,,,
Day 1,11:17:50,2,216,tfMRI,tfMRI_WM_RL,D,3,2,,'+x,,3,2,Y,100.0,100.0
Day 1,11:23:26,2,217,tfMRI_SBRef,tfMRI_GAMBLING_RL_SBRef,D,3,2,,'+x,,1,,,,
Day 1,11:23:26,2,218,tfMRI,tfMRI_GAMBLING_RL,D,3,2,,'+x,,1,1,Y,100.0,100.0
Day 1,11:27:11,2,219,tfMRI_SBRef,tfMRI_GAMBLING_LR_SBRef,D,3,2,,'-x,,2,,,,
Day 1,11:27:11,2,220,tfMRI,tfMRI_GAMBLING_LR,D,3,2,,'-x,,2,2,Y,100.0,100.0
Day 1,11:31:03,2,221,tfMRI_SBRef,tfMRI_MOTOR_RL_SBRef,D,3,2,,'+x,,1,,,,
Day 1,11:31:03,2,222,tfMRI,tfMRI_MOTOR_RL,D,3,2,,'+x,,1,1,Y,100.0,100.0
Day 1,11:34:57,2,223,tfMRI_SBRef,tfMRI_MOTOR_LR_SBRef,D,3,2,,'-x,,2,,,,
Day 1,11:34:57,2,224,tfMRI,tfMRI_MOTOR_LR,D,3,2,,'-x,,2,2,Y,100.0,100.0
