Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,17:10:28,1,101,Bias_Receive,BIAS_BC,A,1,,,,,,,,,
Day 1,17:10:54,1,102,Bias_Receive,BIAS_32CH,A,1,,,,,,,,,
Day 1,17:12:56,1,103,T1w,T1w_MPR1,B,1,,1,,'+z,,,,,
Day 1,17:21:19,1,104,T2w,T2w_SPC1,B,1,,1,,'+z,,,,,
Day 1,17:32:38,1,105,T2w,T2w_SPC2,B,1,,1,,'+z,,,,,
Day 1,17:41:30,1,106,FieldMap,FieldMap_Magnitude,B,1,,1,,,,,,,
Day 1,17:41:31,1,107,FieldMap,FieldMap_Phase,B,1,,1,,,,,,,
Day 1,17:43:47,1,108,Bias_Transmit,AFI,B,1,,,,,,,,,
Day 1,18:37:20,2,201,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 1,18:37:46,2,202,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 1,18:38:59,2,203,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,1,,'+x,,,,,,
Day 1,18:39:32,2,204,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,2,1,,'-x,,,,,,
Day 1,18:40:29,2,205,rfMRI_SBRef,rfMRI_REST1_RL_SBRef,C,2,1,,'+x,,,,,,
Day 1,18:40:29,2,206,rfMRI,rfMRI_REST1_RL,C,2,1,,'+x,,,1,Y,100.0,100.0
Day 1,18:55:51,2,207,rfMRI_SBRef,rfMRI_REST1_LR_SBRef,C,2,1,,'-x,,,,,,
Day 1,18:55:51,2,208,rfMRI,rfMRI_REST1_LR,C,2,1,,'-x,,,2,Y,100.0,100.0
Day 1,19:39:38,2,211,Bias_Receive,BIAS_BC,A,3,,,,,,,,,
Day 1,19:40:04,2,212,Bias_Receive,BIAS_32CH,A,3,,,,,,,,,
Day 1,19:41:21,2,213,FieldMap_SE_EPI,SpinEchoFieldMap_RL,D,3,2,,'+x,,,,,,
Day 1,19:41:54,2,214,FieldMap_SE_EPI,SpinEchoFieldMap_LR,D,3,2,,'-x,,,,,,
Day 1,19:45:31,2,217,tfMRI_SBRef,tfMRI_WM_RL_SBRef,D,3,2,,'+x,,1,,,,
Day 1,19:45:31,2,218,tfMRI,tfMRI_WM_RL,D,3,2,,'+x,,1,1,Y,100.0,100.0
Day 1,19:51:24,2,219,tfMRI_SBRef,tfMRI_WM_LR_SBRef,D,3,2,,'-x,,2,,,,
Day 1,19:51:24,2,220,tfMRI,tfMRI_WM_LR,D,3,2,,'-x,,2,2,Y,100.0,100.0
Day 1,19:57:22,2,221,tfMRI_SBRef,tfMRI_GAMBLING_RL_SBRef,D,3,2,,'+x,,1,,,,
