Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,15:21:08,1,101,Bias_Receive,BIAS_BC,A,1,,,,,,,,,
Day 1,15:21:35,1,102,Bias_Receive,BIAS_32CH,A,1,,,,,,,,,
Day 1,15:31:39,1,104,T2w,T2w_SPC1,B,1,,1,,'+z,,,,,
Day 1,15:40:26,1,105,T1w,T1w_MPR1,B,1,,1,,'+z,,,,,
Day 1,15:57:31,1,107,FieldMap,FieldMap_Magnitude,C,1,,1,,,,,,,
Day 1,15:57:32,1,108,FieldMap,FieldMap_Phase,C,1,,1,,,,,,,
Day 1,15:59:51,1,109,Bias_Transmit,AFI,D,1,,,,,,,,,
Day 1,16:36:58,2,201,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 1,16:37:25,2,202,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 1,16:38:39,2,203,FieldMap_SE_EPI,SpinEchoFieldMap_RL,E,2,1,,'+x,,,,,,
Day 1,16:39:12,2,204,FieldMap_SE_EPI,SpinEchoFieldMap_LR,E,2,1,,'-x,,,,,,
Day 1,16:40:17,2,205,rfMRI_SBRef,rfMRI_REST1_RL_SBRef,E,2,1,,'+x,,,,,,
Day 1,16:40:17,2,206,rfMRI,rfMRI_REST1_RL,E,2,1,,'+x,,,1,Y,100.0,100.0
Day 1,16:55:14,2,207,rfMRI_SBRef,rfMRI_REST1_LR_SBRef,E,2,1,,'-x,,,,,,
Day 1,16:55:14,2,208,rfMRI,rfMRI_REST1_LR,E,2,1,,'-x,,,2,Y,100.0,100.0
Day 1,17:12:52,2,211,FieldMap_SE_EPI,SpinEchoFieldMap_RL,E,2,2,,'+x,,,,,,
Day 1,17:13:25,2,212,FieldMap_SE_EPI,SpinEchoFieldMap_LR,E,2,2,,'-x,,,,,,
Day 1,17:16:05,2,213,tfMRI_SBRef,tfMRI_WM_RL_SBRef,E,2,2,,'+x,,1,,,,
Day 1,17:16:05,2,214,tfMRI,tfMRI_WM_RL,E,2,2,,'+x,,1,1,Y,100.0,100.0
Day 1,17:22:02,2,215,tfMRI_SBRef,tfMRI_WM_LR_SBRef,E,2,2,,'-x,,2,,,,
Day 1,17:22:02,2,216,tfMRI,tfMRI_WM_LR,E,2,2,,'-x,,2,2,Y,100.0,100.0
Day 1,17:28:02,2,217,tfMRI_SBRef,tfMRI_GAMBLING_RL_SBRef,E,2,2,,'+x,,1,,,,
