Session Day,Acquisition Time,Session,Scan Number,Scan Type,Scan Description,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,12:44:48,1,101,Bias_Receive,BIAS_BC,A,1,,,,,,,,,
Day 1,12:45:15,1,102,Bias_Receive,BIAS_32CH,A,1,,,,,,,,,
Day 1,12:47:15,1,103,T1w,T1w_MPR1,B,1,,1,,'+z,,,,,
Day 1,13:04:28,1,105,T1w,T1w_MPR2,B,1,,1,,'+z,,,,,
Day 1,13:12:51,1,106,T2w,T2w_SPC1,B,1,,1,,'+z,,,,,
Day 1,13:21:50,1,107,FieldMap,FieldMap_Magnitude,B,1,,1,,,,,,,
Day 1,13:21:51,1,108,FieldMap,FieldMap_Phase,B,1,,1,,,,,,,
Day 1,13:24:07,1,109,Bias_Transmit,AFI,B,1,,,,,,,,,
Day 1,14:01:18,2,201,Bias_Receive,BIAS_BC,A,2,,,,,,,,,
Day 1,14:01:44,2,202,Bias_Receive,BIAS_32CH,A,2,,,,,,,,,
Day 1,14:02:55,2,203,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,1,,'+x,,,,,,
Day 1,14:03:27,2,204,FieldMap_SE_EPI,SpinEchoFieldMap_LR,C,2,1,,'-x,,,,,,
Day 1,14:04:33,2,205,rfMRI_SBRef,rfMRI_REST1_RL_SBRef,C,2,1,,'+x,,,,,,
Day 1,14:04:33,2,206,rfMRI,rfMRI_REST1_RL,C,2,1,,'+x,,,1,Y,100.0,100.0
Day 1,14:19:33,2,207,rfMRI_SBRef,rfMRI_REST1_LR_SBRef,C,2,1,,'-x,,,,,,
Day 1,14:19:33,2,208,rfMRI,rfMRI_REST1_LR,C,2,1,,'-x,,,2,Y,100.0,100.0
Day 1,14:37:17,2,211,FieldMap_SE_EPI,SpinEchoFieldMap_RL,C,2,2,,'+x,,,,,,
